bank_pk,bank_id,bank_name,branch_id,branch_name,fd_sales,rd_sales,ca_sales,sa_sales,life_insurance,general_insurance,mutual_fund
2-Axis-194-Po,2,Axis,194,Port Michael Branch,2557226.73,1103598.43,1685010.45,1260499.76,4314496.3,4129555.13,2054243.67
2-Axis-132-Jo,2,Axis,132,Josephland Branch,1094814.64,883423.44,1138959.62,892130.97,5099994.16,3998727.9,2514459.89
5-Axis-189-Ne,5,Axis,189,New Dianaborough Branch,1614511.32,700102.91,877610.21,1255900.29,2985548.93,1964879.69,2592476.92
1-Axis-117-Ke,1,Axis,117,Kellymouth Branch,404473.35,157537.67,182092.12,178017.81,245099.21,324009.93,1526.29
3-Axis-175-Ne,3,Axis,175,New Peter Branch,2144829.39,518496.37,470854.46,929895.81,3182535.62,1981340.88,1761327.41
3-Axis-166-Ma,3,Axis,166,Martintown Branch,297619.83,16934.95,285073.57,135931.85,824465.21,82332.35,157556.2
3-Axis-177-Ta,3,Axis,177,Tammyberg Branch,1966049.57,471032.13,925371.16,1038333.26,4094270.67,2649277.6,1560278.83
1-Axis-158-Ea,1,Axis,158,East Chadstad Branch,983251,260942.05,623225.38,207406.63,2764769.76,1471859.44,821489.45
2-Axis-175-Ne,2,Axis,175,New Peter Branch,818642.94,373550.2,980945.09,709451.44,3076247.85,1326970.57,1200566.55
1-Axis-103-La,1,Axis,103,Lake Jamesstad Branch,1125484.36,1209312.92,1103644.92,1271697.51,3191726.72,3391288.21,1972417.67
1-Axis-115-We,1,Axis,115,West Jennifer Branch,1360023.48,475551.21,505600.02,409773.92,2447587.76,2182436.51,1105366
2-Axis-174-We,2,Axis,174,West Danielle Branch,2580229.4,1279474.15,894087.98,1248753.96,5129868.22,2964049.81,3030502.6
1-Axis-199-No,1,Axis,199,North Patrickfort Branch,2201566.28,882845.79,1512380.73,965781.59,3830789.89,3212487.1,2200643.08
3-Axis-147-Ea,3,Axis,147,East Jason Branch,1137368.19,308861.79,965731.03,351185.53,3902360.16,1745343.15,1285765.26
4-Axis-165-So,4,Axis,165,South Patrick Branch,2507789.59,860029.89,1342946.19,774828.07,3940692.96,3826564.35,2178979.88
4-Axis-176-Mu,4,Axis,176,Murrayhaven Branch,2093381.62,847319.65,1229099.96,1054687.05,4670187.73,1953033.53,1168540.62
1-Axis-107-Po,1,Axis,107,Port Gregoryport Branch,2144178.89,660169.86,1335318.86,816530.15,4125574.68,2476129.99,1406148.35
2-Axis-143-Ha,2,Axis,143,Hallborough Branch,2889436,742274.57,1928342.61,1048779.53,5223975.51,3845158.2,2077179.97
5-Axis-120-Ea,5,Axis,120,East Sydney Branch,2356046.55,748269.43,1297780.71,918138.6,4704284.75,2797622.38,2170492.06
1-Axis-125-Am,1,Axis,125,Amymouth Branch,2062362.86,743608.69,1175592.93,1021927.18,3221231.7,3161106.55,1457040.96
1-Axis-134-No,1,Axis,134,North Charles Branch,2529573.24,731701.96,1365369.64,700380.46,4580481.31,2799141.57,2682924
5-Axis-114-La,5,Axis,114,Lake Hollystad Branch,1840319.37,565211.18,1229472.91,866089.58,2306252.47,2395963.63,1631560.23
4-Axis-139-Ke,4,Axis,139,Kevinport Branch,2532708.52,983342.68,1093863.61,1499361.21,3947373.34,3032349.14,2628223.16
4-Axis-129-Tr,4,Axis,129,Travisberg Branch,3353416.62,942548.02,1512874.45,1310492.43,5298983.77,5478158.83,3171942.98
5-Axis-165-So,5,Axis,165,South Patrick Branch,2339146.52,969283.46,1813894.44,1126511.59,4070239.64,2675423.16,2708674.84
1-Axis-112-Sm,1,Axis,112,Smithborough Branch,2401277.94,758988.28,1501681.61,858969.62,3626117.74,2289744.03,2536145.16
3-Axis-100-Ea,3,Axis,100,East Curtis Branch,621553.78,208354.41,284041.36,206939.73,759156.8,794361.65,677267.66
4-Axis-142-Br,4,Axis,142,Bryantton Branch,1295470.99,378117.22,707573.01,739747.09,1630687.64,1133803.66,1231557.47
4-Axis-127-We,4,Axis,127,West Kimberly Branch,2162509.58,750420.35,1497923.69,811233.99,1760724.16,2678648.08,1582718.96
4-Axis-100-Ea,4,Axis,100,East Curtis Branch,891461.81,98160.64,505076.38,396650.02,1286570.93,1737619.14,1137843.04
2-Axis-139-Ke,2,Axis,139,Kevinport Branch,2840776.09,1129897.27,1587701.93,1492564.87,4763854.45,4016714.53,1872808.19
5-Axis-133-Da,5,Axis,133,Danielton Branch,1522669.22,804648.14,1443607.81,827922,3079841.86,3620223.37,1662043.51
2-Axis-112-Sm,2,Axis,112,Smithborough Branch,3031036.44,1138185.93,2050995.86,1194066.96,5084813.05,4703290.37,3538345.53
4-Axis-160-No,4,Axis,160,North Vanessamouth Branch,2115452.25,813563.4,1390283.19,1060733.17,4964106.02,4148801.48,2756097.31
1-Axis-165-So,1,Axis,165,South Patrick Branch,1936775.85,717343.33,997139.92,725383.41,3379037.35,2827712.45,1738635.11
4-Axis-103-La,4,Axis,103,Lake Jamesstad Branch,1520290.18,755791.68,801068.45,636470.25,3180213.95,3020819.18,1166502.52
1-Axis-188-Ea,1,Axis,188,East Ryanmouth Branch,2429447.18,840815.81,1241234.63,1274458.29,4657108.76,2621500.59,2190832.6
1-Axis-197-Po,1,Axis,197,Port Jeanne Branch,1217447.57,509052.4,464044.98,645068.89,614478.7,1409775.14,1039719.25
4-Axis-112-Sm,4,Axis,112,Smithborough Branch,1561542.7,655253.17,1119281.82,862541.6,2732339.43,2127683.87,1147280.05
4-Axis-135-Ea,4,Axis,135,East Michael Branch,560315.65,235649.55,322681.55,261000.44,1594318.87,381352.07,679604.46
1-Axis-195-Po,1,Axis,195,Port Wanda Branch,1752341.97,950147.88,1221144.41,613979.79,4640828.54,2506575.11,1939702.5
2-Axis-160-No,2,Axis,160,North Vanessamouth Branch,1247075.63,471276.75,894329.6,646824.67,3573842.93,2103748.33,1822678.5
2-Axis-157-Mi,2,Axis,157,Mitchellburgh Branch,1961249.38,724228.93,1357204.87,1235338.24,5292239.64,4041815.84,1961461.45
2-Axis-184-Po,2,Axis,184,Port Rachel Branch,1412595.33,787177.13,1307789.92,923711.96,3805446.65,3853291.2,2030501.21
3-Axis-189-Ne,3,Axis,189,New Dianaborough Branch,3010778.41,871195.01,1433432.05,1176170.96,6160057.1,2629015.74,2407349.36
1-Axis-114-La,1,Axis,114,Lake Hollystad Branch,1602631.87,852262.25,1057401.89,883679.54,2835567.55,2882981.18,2084507.27
1-Axis-184-Po,1,Axis,184,Port Rachel Branch,906046.56,328183.12,560036.82,528868.59,2294504.78,1717858.56,834242.13
3-Axis-111-Me,3,Axis,111,Meganton Branch,2479895.37,762974.57,1317937.34,1300250.5,5983235.43,3854651.06,1772272.04
1-Axis-175-Ne,1,Axis,175,New Peter Branch,880540.77,490884,312496.25,236685.63,574698.08,617212.75,811333.58
5-Axis-168-Ve,5,Axis,168,Vernonborough Branch,1547803.91,633308.07,750944.12,726508.31,3241738.02,2321346.06,1411390.19
5-Axis-160-No,5,Axis,160,North Vanessamouth Branch,938876.21,642923.55,825070.64,858402.24,1866482.71,2471772.11,1768359.92
1-Axis-141-Ho,1,Axis,141,Hodgesburgh Branch,2128607.62,956558.45,1475632.91,1512178.59,3360968.72,3222574.2,1545988.01
1-Axis-189-Ne,1,Axis,189,New Dianaborough Branch,517090.42,215739.67,169273.97,206126.59,430569.66,751453.07,550687.54
1-Axis-131-Br,1,Axis,131,Browningberg Branch,1809468.35,483245.99,699343.82,741795.7,1881158.15,791955.55,1253611.97
2-Axis-101-Ki,2,Axis,101,Kimshire Branch,1379173.9,288055.96,573970.56,376539.28,1276811.77,1651181.31,1153794.82
4-Axis-190-Tu,4,Axis,190,Tuckertown Branch,1068068.25,380589.48,441985.49,325617.22,2028259.97,1783425.94,931822.61
5-Axis-153-Da,5,Axis,153,Davidchester Branch,1636056.89,537422.65,977813.7,899353.53,3137981.37,2299199.07,1311621.76
5-Axis-107-Po,5,Axis,107,Port Gregoryport Branch,1784150.06,991676.64,1439469.32,1215558.28,4087064.53,2809572.57,1392455.57
1-Axis-187-Ma,1,Axis,187,Marshallshire Branch,2236039.62,1156552.42,2466172.58,1860615.22,6855330.92,4225502.72,2913856.5
5-Axis-112-Sm,5,Axis,112,Smithborough Branch,1624312.83,887706.69,664011.4,1123219.47,3080070.95,2947287.58,1836719.35
1-Axis-128-No,1,Axis,128,North Nathanieltown Branch,3008531.59,1021778.71,1825349.62,1700921.33,5325356.25,3736485.84,2696116.32
5-Axis-157-Mi,5,Axis,157,Mitchellburgh Branch,1364931.22,572022.83,676990.5,574531.23,2060040.98,1421138.42,649721.78
5-Axis-162-Mo,5,Axis,162,Moniquechester Branch,1791897.63,831711.91,2103513.07,1474256.16,4752178.62,3934035.61,2253836.91
4-Axis-186-Ea,4,Axis,186,East Sarabury Branch,2048638.73,872724.39,1176615.89,1057655.62,5376583.98,2662810.76,1739883.31
3-Axis-146-Br,3,Axis,146,Brandonside Branch,1514843.58,765606.24,1019317.78,948092.4,1789566.31,1923580.19,1757296.18
4-Axis-178-Po,4,Axis,178,Port Kimberlyfurt Branch,1467299.6,858464.27,1060074.7,1086258.02,3587162.26,3529311.9,2471222.07
4-Axis-187-Ma,4,Axis,187,Marshallshire Branch,1315900.7,506463.67,316603.71,548038.96,2512297.42,2453605.32,1226173.26
5-Axis-186-Ea,5,Axis,186,East Sarabury Branch,1815396.34,783454.29,1457505.75,1004850.79,3952796.7,3432609.45,1874619.6
4-Axis-173-Ne,4,Axis,173,New Nathan Branch,2382646.76,903569.03,1317434.54,684482.76,4512917.18,4390780.04,2342755.92
2-Axis-168-Ve,2,Axis,168,Vernonborough Branch,2499984.66,1045748.61,1265024.05,1147382.39,3648039.52,3505339.62,1827442.42
1-Axis-168-Ve,1,Axis,168,Vernonborough Branch,1361655.78,537943.01,730075.06,773812.22,2162208.92,2061953.58,1053645.39
3-Axis-194-Po,3,Axis,194,Port Michael Branch,2027395.91,855414.01,1025748.5,1389512.77,4865491.41,5119019.82,3186747.16
1-Axis-100-Ea,1,Axis,100,East Curtis Branch,2033630.17,895278.69,989285.35,726791.51,4237236.22,1963161.5,1572040.05
1-Axis-101-Ki,1,Axis,101,Kimshire Branch,1400589.33,650433.92,1214628.58,864082.8,3747400.77,3619695.27,2472176.56
3-Axis-128-No,3,Axis,128,North Nathanieltown Branch,2294830.6,812168.77,1443410.98,1156131.71,6982923.57,4687482.1,2629643.77
4-Axis-106-Wi,4,Axis,106,Williamview Branch,3597117.06,1455667.35,1988666.1,1943428.71,5495600.65,4581051.57,3454553.02
1-Axis-192-Ca,1,Axis,192,Carlton Branch,1309173.52,515815.43,879990.61,600137.58,2959924.28,1630419.83,1113479.55
3-Axis-156-Ea,3,Axis,156,East Emilymouth Branch,1289945.14,734789.99,646360.24,554355.05,1168101.81,1539184.89,1076647.59
5-Axis-154-Mi,5,Axis,154,Mikeside Branch,304020.9,82042.76,518622.28,325293.78,124169.93,559978.75,658517.61
1-Axis-172-La,1,Axis,172,Lake Traci Branch,2383398.17,985290.15,1014400.78,1544195.63,3674618.96,4042520.01,1540352.88
1-Axis-135-Ea,1,Axis,135,East Michael Branch,785567.46,494551.37,521412.52,478226.66,1086181.31,2096152.7,978909.02
5-Axis-109-Sa,5,Axis,109,Sandramouth Branch,2704792,853692.13,1985986.51,1412465.75,6134188.07,3825316.68,2357619.53
1-Axis-179-Po,1,Axis,179,Port Brian Branch,2921515.83,790380.57,1267291.89,1209058.45,6120434.13,3018987.39,2085529.69
3-Axis-138-La,3,Axis,138,Lake Christophertown Branch,2833394.34,801592.03,1621144.14,1417406.53,6531201.75,3720222.53,2071633.27
1-Axis-157-Mi,1,Axis,157,Mitchellburgh Branch,1018919.47,713102.5,1270225.57,771228.68,5088131.05,2401463.37,1437431.09
5-Axis-197-Po,5,Axis,197,Port Jeanne Branch,1559033.49,399174.34,1162434.84,607083.42,3949782.3,1923189.41,1461792.07
2-Axis-113-Ne,2,Axis,113,New Amyville Branch,1319680.58,757179.96,1329665.84,1406515.42,4571321.82,3780587.72,2087655.34
4-Axis-181-We,4,Axis,181,West Christopher Branch,1732679.22,1069276.53,1542003.93,1284416.28,3806699.33,1972483.56,2034624.95
2-Axis-100-Ea,2,Axis,100,East Curtis Branch,3332951.35,916678.11,1273122.75,1458797.29,4472912.91,4123777.76,2087220.98
4-Axis-116-Ne,4,Axis,116,New Destinyview Branch,469704.37,260392.22,139824.04,118475.37,1330487.95,466305.8,582616.48
5-Axis-148-No,5,Axis,148,North Melaniestad Branch,528332.65,260322.11,264940.27,53019.93,798786.69,800976.42,378128.4
1-Axis-185-Po,1,Axis,185,Port Patricktown Branch,908256.51,671578.01,323293.36,343655.66,2113414.84,1586345.84,1549734.8
2-Axis-106-Wi,2,Axis,106,Williamview Branch,1881140.56,292778.01,1092433.14,734551.09,3315194.7,1927214.93,1998017.12
3-Axis-114-La,3,Axis,114,Lake Hollystad Branch,3073815.81,1184785.69,1584969.42,1619594.93,3914146.49,5246077.51,1621488.03
3-Axis-120-Ea,3,Axis,120,East Sydney Branch,1694626.15,1092410.21,1529612.53,1445513.83,4197777.95,3639641.29,2185438.24
4-Axis-147-Ea,4,Axis,147,East Jason Branch,883677.25,558582.87,783292.51,530684.61,3011531.73,1325968.74,1331844.86
3-Axis-188-Ea,3,Axis,188,East Ryanmouth Branch,1049972.71,331061.94,579336.28,777596.87,3182356.92,1805280.94,1475591.29
5-Axis-172-La,5,Axis,172,Lake Traci Branch,1187134.83,610450.45,464317.18,464623.47,2433762.59,2139258.54,1564558.93
1-Axis-183-La,1,Axis,183,Lancemouth Branch,1378109.1,790866.48,1066873.71,1057478.07,3519584.56,1825021.33,1030095.68
1-Axis-149-Po,1,Axis,149,Port Jademouth Branch,1719379.63,691972.73,1195550.41,1105937.02,4913417.37,4047739.28,2912197.39
3-Axis-109-Sa,3,Axis,109,Sandramouth Branch,1899901.9,748963.26,1368129.94,1233503.5,4132015.83,3075314.31,2207370.17
4-Axis-151-Ja,4,Axis,151,Jarvismouth Branch,1336840.9,194050.17,582448.33,650171.97,1871891.98,1494152,1161835.03
5-Axis-184-Po,5,Axis,184,Port Rachel Branch,454626.3,287791.64,748859.46,275449.14,1616753,906204.88,806080.61
2-Axis-167-Da,2,Axis,167,Davischester Branch,1637785.73,551293.59,1009300.03,756169.96,2313852.25,3235422.33,1438258.24
1-Axis-133-Da,1,Axis,133,Danielton Branch,985740.77,556561.36,1236023.26,543839.07,2864624.84,2982284.01,1670762.53
4-Axis-193-Ne,4,Axis,193,New Jenniferberg Branch,1536929.03,813026.41,985821.18,365995.91,3611873.96,2873791.09,1631360.37
2-Axis-177-Ta,2,Axis,177,Tammyberg Branch,925371.56,531190.43,571933.96,573550.35,3556263.8,1094727.14,1643296.33
5-Axis-185-Po,5,Axis,185,Port Patricktown Branch,2232847.22,1036955.7,1807020.02,1085614.44,4425999.15,3838288.33,2375520.6
5-Axis-164-Fo,5,Axis,164,Fordton Branch,1342990.31,442229.43,465675.85,249226.58,1788471.76,1257945.38,727866.13
2-Axis-159-Ag,2,Axis,159,Aguilarberg Branch,2066231.58,1116777.87,1012534.47,885639.13,3794689.39,2899658.13,1571093.77
2-Axis-107-Po,2,Axis,107,Port Gregoryport Branch,505531.16,218211.2,450660.17,661499.4,1337045.27,1031101.99,410596.13
3-Axis-174-We,3,Axis,174,West Danielle Branch,1666240.94,550867.09,1258687.37,873149.1,2396243.12,1459699.37,957973.05
1-Axis-164-Fo,1,Axis,164,Fordton Branch,935841.36,446196.36,522884.25,618170.36,2251477.7,2714350.6,1805610.76
3-Axis-168-Ve,3,Axis,168,Vernonborough Branch,1937124.17,915308.14,785383.98,1092529.58,3871298.03,2752893.64,2548645.23
4-Axis-156-Ea,4,Axis,156,East Emilymouth Branch,1746366.88,812366.77,1480625.75,1242553.17,4594867.79,3203287.31,1629350.62
2-Axis-144-Ea,2,Axis,144,East Jenniferstad Branch,2245657.17,842196.2,1933046.17,1539522.69,4055030.65,4157912.96,2780654.64
3-Axis-148-No,3,Axis,148,North Melaniestad Branch,1225689.07,527455.69,595686.05,457911.62,2241095.76,2614244.72,971751.09
1-Axis-173-Ne,1,Axis,173,New Nathan Branch,1164197.73,393516.25,604354.39,538976.5,1050094.85,1595406.14,1182016.14
1-Axis-161-We,1,Axis,161,West Stephaniefort Branch,1813870.73,898245.83,900875.33,840637.66,3955416.72,2864159.89,1479599.61
2-Axis-138-La,2,Axis,138,Lake Christophertown Branch,830262.65,664541.81,1076701.78,496509.38,2830839.17,2561215.97,2008451.87
3-Axis-176-Mu,3,Axis,176,Murrayhaven Branch,1464398.39,492172.5,1149318.26,611339.52,2295567.47,2615532.71,1752008.66
2-Axis-199-No,2,Axis,199,North Patrickfort Branch,2190797.19,729063.88,974258.55,877908.68,2985171.77,3464968.51,1305904.65
4-Axis-152-Br,4,Axis,152,Brittanyland Branch,2557470.36,1032763.08,1722257.77,1078390.79,3243882.39,2841204.76,2307105.78
3-Axis-144-Ea,3,Axis,144,East Jenniferstad Branch,2285666.15,696890.61,974374.81,945348.94,4443177.77,3430449.9,2346314.1
3-Axis-196-Za,3,Axis,196,Zamorahaven Branch,3498638.24,1455513.98,1857383.08,1765839.74,6596332.44,3137380.89,3453560.21
2-Axis-127-We,2,Axis,127,West Kimberly Branch,1480927.89,805637.3,1273780.3,925024.38,3693418.12,4070693.4,2801590.94
3-Axis-152-Br,3,Axis,152,Brittanyland Branch,3152237.52,572657.17,1476571.14,1104833.27,4618693.83,2387239.08,2830835.24
3-Axis-108-Ea,3,Axis,108,East Carl Branch,482989.07,344412.34,560630.28,265425.49,2121895.01,1153863.32,574660.11
4-Axis-174-We,4,Axis,174,West Danielle Branch,2346369.95,949703.61,1814585.83,1105042.77,5391460.65,4542665.74,2719386.6
4-Axis-192-Ca,4,Axis,192,Carlton Branch,1507912.41,653429.37,1162623.68,1141465.33,3279445.32,2401030.99,922096.64
5-Axis-170-Ea,5,Axis,170,East Joshua Branch,1356126.71,543059.22,1126285.36,778632.74,1826874.66,1636603.16,1057534.35
5-Axis-126-So,5,Axis,126,South Wendy Branch,1172232.42,335353.58,820157.6,811289.54,1982136.15,2142006.61,1170091.5
4-Axis-121-Al,4,Axis,121,Allenhaven Branch,1955257.85,887961.64,1190726.53,1310475.87,3802641.11,3973029.08,1930637.15
5-Axis-194-Po,5,Axis,194,Port Michael Branch,536571.79,432108.22,525011.23,465303.11,1662611.6,1693845.74,1078265.89
2-Axis-183-La,2,Axis,183,Lancemouth Branch,1925988.42,754870.26,988007.71,816663.21,4116490.07,3636825.36,1433593.22
4-Axis-114-La,4,Axis,114,Lake Hollystad Branch,1944685.25,528899.43,714211.87,808569.66,3331628.94,2297683.58,1344304.66
2-Axis-152-Br,2,Axis,152,Brittanyland Branch,712704.11,327662.09,325631.8,506522.31,1397093.45,1918347.99,940830.55
5-Axis-175-Ne,5,Axis,175,New Peter Branch,1960467.49,762527.76,1463765.38,1191168.71,3884311.9,3318096.76,1320329.77
4-Axis-180-Ni,4,Axis,180,Nicolechester Branch,2700063.07,787768.39,1241003.56,698577.8,5658399.88,4338262,1790003.88
4-Axis-122-Te,4,Axis,122,Teresamouth Branch,1732894.65,504863.08,1224876.25,708106.88,4917233.78,2835376.82,1728405.6
5-Axis-169-No,5,Axis,169,North Jacquelineburgh Branch,961218.08,293532.77,457080.3,321007.25,975384.14,2080420.68,676525.95
2-Axis-190-Tu,2,Axis,190,Tuckertown Branch,822578.88,340031.12,271346.43,370869.81,2334603.05,1054964.82,988353.07
2-Axis-186-Ea,2,Axis,186,East Sarabury Branch,1847778.85,534875.94,1008341.82,623677.48,3662860.99,2533078.09,1915976.37
4-Axis-164-Fo,4,Axis,164,Fordton Branch,1672416.97,594899.98,1351168.28,1226724.9,4530543.87,3597497.73,2105744.39
5-Axis-106-Wi,5,Axis,106,Williamview Branch,1897289.54,519438.5,1301136.34,686720.23,3290632.29,2663866.93,2274069.57
4-Axis-144-Ea,4,Axis,144,East Jenniferstad Branch,1778787.84,665460.36,1060036.28,555070.69,3679498.78,2074395.94,2229743.08
2-Axis-148-No,2,Axis,148,North Melaniestad Branch,2266613.29,933235.45,1924948.07,1389262.04,4210139.26,4205530.43,2572898.23
5-Axis-147-Ea,5,Axis,147,East Jason Branch,2163664.2,967593.71,1658364.35,924244.42,6008580.46,2753642.67,2782802.41
3-Axis-139-Ke,3,Axis,139,Kevinport Branch,635193.43,444761.66,796253.09,488149.19,1797982.63,1577605.36,960810.56
3-Axis-181-We,3,Axis,181,West Christopher Branch,1451170.61,528260.38,866199.29,813363.65,3138418.3,1243278.89,1256982.3
1-Axis-155-Al,1,Axis,155,Alejandrofurt Branch,1656962.94,645433.82,855418.29,921805.37,1968502.29,1716930.36,1139378.35
4-Axis-185-Po,4,Axis,185,Port Patricktown Branch,1191382.04,589976.39,818472.32,355551.05,1153121.51,2078906.33,1188300.09
4-Axis-101-Ki,4,Axis,101,Kimshire Branch,1983511.67,1028360.81,1403459.68,1239584.99,4298293.52,3967344.16,2336196.98
3-Axis-125-Am,3,Axis,125,Amymouth Branch,2226301.14,1199405.8,1201078.88,1205855.92,5239960.42,4560104.26,2413835.51
5-Axis-195-Po,5,Axis,195,Port Wanda Branch,1207305.62,630202.75,878956.36,560010.05,997417.87,1860299.22,1068323.98
3-Axis-122-Te,3,Axis,122,Teresamouth Branch,1956988.16,705929.57,960607.3,923302.36,2695810.8,2411063.89,1899826.18
5-Axis-117-Ke,5,Axis,117,Kellymouth Branch,1296560.79,549399.4,1180323.84,823563.45,3203377.89,1702544.48,1655729.6
5-Axis-182-An,5,Axis,182,Anthonyberg Branch,2363148.41,917411.92,1026748.61,1075104.87,6011436.54,3548963.2,2265304.3
5-Axis-167-Da,5,Axis,167,Davischester Branch,1138236.23,568662.3,772300.5,769454.41,2112191.17,2670913.12,1632460.99
5-Axis-101-Ki,5,Axis,101,Kimshire Branch,2169860.91,958595.81,1412549.25,1032294.75,4436608.8,3627303.77,2926606.9
2-Axis-130-Ro,2,Axis,130,Robertshire Branch,2386759.13,903718.14,1268225.92,1151940.18,4254192.22,4606611.7,2114165.65
3-Axis-179-Po,3,Axis,179,Port Brian Branch,1411181.55,632812.66,1398722.58,947924.32,3126143.86,4081895.45,1436703.86
2-Axis-163-Sh,2,Axis,163,Shannonmouth Branch,1115501.94,432806.81,646459.68,672183.9,1380057.92,1749222.67,1041035.14
1-Axis-132-Jo,1,Axis,132,Josephland Branch,1118855.15,882891.14,979893.27,1114073.87,3705540.39,3843116.52,1948331.17
3-Axis-149-Po,3,Axis,149,Port Jademouth Branch,1278115.87,393572.09,1124956.74,591021.82,3349415.41,2839011.48,1493495.28
5-Axis-163-Sh,5,Axis,163,Shannonmouth Branch,2857971.37,1313364.63,1855285.95,1582675.99,5458969.28,5393728.63,3253713.37
5-Axis-102-Jo,5,Axis,102,Johnland Branch,1841643.41,923835.37,1386655.36,1376724.91,3175048.61,3097133.33,1304076.01
1-Axis-150-La,1,Axis,150,Lake Kelly Branch,1795527.59,647734.27,774588.32,705687.28,3146212.65,3076047.89,1753286.92
2-Axis-129-Tr,2,Axis,129,Travisberg Branch,2618193.73,855487.46,1235803.3,1143593.83,4294505.58,2977328.48,1844654.06
4-Axis-124-Ma,4,Axis,124,Maryburgh Branch,2637889.09,1003821.13,1583895.33,787852.59,4122311.33,3488477.44,2131313.06
1-Axis-142-Br,1,Axis,142,Bryantton Branch,2989635.53,923983.14,1618432.09,1313580.19,4107199.96,5263568.9,3000024.8
2-Axis-187-Ma,2,Axis,187,Marshallshire Branch,2502755.46,1049609.48,1688547.27,1320423.01,5099411.78,3463789.7,2240403.2
3-Axis-158-Ea,3,Axis,158,East Chadstad Branch,1451316.04,560139.32,724303.84,695172.19,3223952.62,2261659.51,1606554.76
3-Axis-161-We,3,Axis,161,West Stephaniefort Branch,700529.16,357590.53,537788.56,477869.87,2009949.83,1268227.62,1420851.97
